id,information,description
1,Trường Đại Học Nguyễn Tất Thành,"Trường ĐH Nguyễn Tất Thành có quy mô đào tạo hơn 30.000 sinh viên, học viên, nghiên cứu sinh với 20 khoa, 58 chương trình đào tạo bậc đại học, 13 ngành trình độ thạc sĩ, 4 ngành trình độ tiến sĩ, 01 CTĐT liên kết quốc tế tập trung vào 18 lĩnh vực mũi nhọn như Sức khỏe, Công nghệ kỹ thuật, Kỹ thuật, Máy tính và Công nghệ thông tin, Sản xuất và Chế biến, Kinh doanh và Quản lý, Nghệ thuật, Nhân văn, Khoa học xã hội và hành vi, Báo chí và thông tin, Pháp luật, Khoa học sự sống, Kiến trúc và xây dựng, Du lịch, Môi trường và Bảo vệ môi trường, Khoa học giáo dục và đào tạo giáo viên, Thú y, Khoa học tự nhiên.

Một trong những nhân tố quyết định đến chất lượng đào tạo, làm nên thương hiệu của Trường Đại học Nguyễn Tất Thành phải kế đến vai trò của tập thể nhân sự Nhà trường trong suốt 25 năm phát triển, đó là đủ về số lượng – vững về chất lượng.



Trường Đại học Nguyễn Tất Thành hiện có 1.179 giảng viên cơ hữu, trong đó có 792 thạc sỹ và 320 tiến sỹ. Song song với việc nâng cao trình độ chuyên môn của đội ngũ sư phạm, Nhà trường cũng thay đổi phương pháp đào tạo nhằm đáp ứng yêu cầu ngày càng cao của doanh nghiệp. Tất cả các chương trình đào tạo của trường đều được xây dựng trên cơ sở nhu cầu thực tiễn của doanh nghiệp kết hợp tham khảo các chương trình tiên tiến quốc tế. Nhà trường cũng áp dụng đa dạng Bộ Tiêu chuẩn cả trong và ngoài nước gồm Thông tư 12/2017, Thông tư 04/2016 của Bộ Giáo dục và Đào tạo, AUN-QA, QS Stars, UPM đo lường chất lượng tổng thể các chương trình đào tạo theo định hướng phát triển, hội nhập với giáo dục quốc tế.

Tính đến thời điểm hiện tại, Trường ĐH Nguyễn Tất Thành đã có 31 chương trình đào tạo đạt kiểm định chất lượng theo Thông tư 04/2016 TT-BGDDT (chu kỳ 1, 2), 08 chương trình đào tạo đạt kiểm định Bộ tiêu chuẩn AUN-QA, 11 chương trình đào tạo gắn sao theo Hệ thống xếp hạng đối sánh UPM.

Với những thành tích đã đạt được suốt 25 năm nỗ lực xây dựng và phát triển, Trường Đại học Nguyễn Tất Thành đã được xã hội và Nhà nước đánh giá cao về những đóng góp vượt trội cho sự nghiệp giáo dục nước nhà. Minh chứng cho sự ghi nhận đó là Trường đã vinh dự nhận được nhiều bằng khen của Chính phủ, Bộ GD&ĐT, UBND TP. HCM, các tổ chức kiểm định chất lượng uy tín trong nước và quốc tế. Đặc biệt phải kể đến là Huân chương lao động hạng Nhất vì thành tích xuất sắc trong giáo dục và đào tạo, Huân chương lao động hạng Ba vì thành tích xuất sắc trong công tác phòng chống dịch COVD-19 trên địa bàn TP.HCM, hay Top 20 trường đại học đầu tiên trong nước được Bộ GD&ĐT cấp chứng nhận đạt kiểm định chất lượng giáo dục, đạt chuẩn chất lượng 4 sao của Tổ chức kiểm định QS (Anh Quốc), top 30% Đại học tốt nhất Châu Á trên Bảng xếp hạng QS Asia 2024 (top 60 tại Đông Nam Á và là top 5 tại Việt Nam), Top 20% trường đại học trên toàn thế giới trong BXH THE Impact Rankings 2024, Top 3 trường đại học tốt nhất toàn cầu tại Việt Nam trong bảng xếp hạng U.S News Best Global Universities (730 trên toàn cầu, 210 ở châu Á), Top 4 trường đại học Việt Nam tại Bảng xếp hạng thế giới URAP, được gắn 5 sao của Hệ thống xếp hạng đối sánh chất lượng đại học Việt Nam và khu vực – UPM, Top 5 cả nước về công trình nghiên cứu công bố quốc tế, Top 6 tạp chí khoa học Việt Nam được chấp nhận vào hệ thống cơ sở dữ liệu của SCOPUS, trường ngoài công lập duy nhất tại TP. HCM lọt Top 15 trên bảng xếp hạng 100 trường đại học Việt Nam năm 2024, Top 4 trường đại học của Việt Nam trong bảng xếp Webometrics, Top 10 trường đại học Việt Nam trong bảng xếp hạng SCImago…

Cơ sở đạt chuẩn 5 sao của Trường ĐH Nguyễn Tất Thành 

Tầm nhìn đến năm 2035, Trường Đại học Nguyễn Tất Thành trở thành đại học đổi mới sáng tạo, đa ngành, đa lĩnh vực có tính hội nhập cao, đào tạo nguồn nhân lực gắn với nhu cầu trong và ngoài nước, đáp ứng Cách mạng công nghiệp 4.0, đạt chuẩn khu vực và quốc tế.

Về sứ mạng, Trường Đại học Nguyễn Tất Thành cam kết tạo môi trường học tập với mục tiêu phát triển toàn diện con người để người học trở thành một công dân tích cực, có năng lực khởi nghiệp, đổi mới sáng tạo, hội nhập, có sức cạnh tranh cao trong thị trường lao động trong và ngoài nước thông qua hoạt động đào tạo, nghiên cứu ứng dụng, chuyển giao công nghệ, và phục vụ cộng đồng, xã hội dựa trên liên minh chiến lược gắn kết với các doanh nghiệp và các viện nghiên cứu.

Trường có 4 cơ sở là 300A - Quận 4, An Phú Đông, Nguyễn Hữu Thọ, Công nghệ cao - Q9"
2,Cơ sở 300A - Quận 4,"Đây được xem là cơ sở chính của Trường ĐH Nguyễn Tất Thành, tọa lạc ngay trên trục đường chính cùng tên “Nguyễn Tất Thành” có vị trí giao thông thuận lợi nối liền các quận của trung tâm của thành phố. Tòa nhà 8 tầng được quy hoạch xây dựng với tổng diện tích sàn gần 25.000 mét vuông. Trong suốt 24 năm qua, kể từ khi thành lập Trường ĐH Nguyễn Tất Thành, đây chính là đây là nơi làm việc của văn phòng Hiệu bộ, tập trung chủ yếu đào tạo sinh viên các ngành sức khỏe, nghệ thuật."
3,Cơ sở An Phú Đông,"Năm 2015, cơ sở 331 của Trường ĐH Nguyễn Tất Thành đưa vào hoạt động với tổng diện tích sàn xây dựng hơn 35.000 m2, mức đầu tư lên đến 600 tỷ đồng đóng trên địa bàn qua Quốc lộ 1A, phường An Phú Đông, Quận 12, TP. HCM. Điểm nhấn của cơ sở này là hai blook nhà 10 tầng được thiết kế với quy mô lớn cùng tổ hợp các khu tiện ích hỗ trợ học tập khác như Hệ thống trung tâm thư viện, phòng tập gym, khu tự học, xưởng thực hành…đáp ứng nhu cầu về sinh hoạt, học tập, làm việc, hoạt động ngoại khóa, thể thao…giúp sinh viên được trải nghiệm trọn vẹn một môi trường đại học hiện đại, năng động khơi gợi nhiều cảm hứng trong học tập. Cơ sở 331 chủ yếu tập trung đào tạo sinh viên các ngành về Kinh tế, Kỹ thuật Công nghệ, Xã hội Nhân Văn. Đây cũng là nơi thường xuyên tổ chức các sự kiện có quy mô lớn của Nhà trường và những hoạt động phong trào đoàn thể của sinh viên…"
4,Cơ sở Nguyễn Hữu Thọ,"Là nơi đào tạo sinh viên theo học hệ chất lượng cao thuộc Viện Đào tạo Quốc tế NTT (Viện NIIE) và một số sinh viên các ngành thuộc ngoại Ngữ, du lịch, Việt Nam học. Với tổng diện tích hơn 5.000 mét vuông sàn xây dựng, các phòng học được thiết kế theo tiêu chuẩn Quốc tế với hệ thống trang thiết bị hiện đại, phục vụ tích cực cho các hoạt động giảng dạy, vui chơi và giải trí của giảng viên, sinh viên."
5,Cơ sở Công nghệ cao - Q9,"Xác định mục tiêu trở thành trường đại học hàng đầu cả nước và khu vực Đông Nam Á nên Trường ĐH Nguyễn Tất Thành xây dựng trường học thành một hệ sinh thái đổi mới sáng tạo – khởi nghiệp. Trong đó trường học phải gắn liền với doanh nghiệp, đẩy mạnh quốc tế hóa và phát triển theo mô hình giáo dục 4.0 nhà trường đã đầu tư 3 dự án gồm: Trung tâm phát triển công nghệ cao, Trung tâm đào tạo công nghệ cao và Công viên Thiên niên kỷ tại đường D2, khu Công nghệ cao, phường Long Thạnh Mỹ, TP. Thủ Đức, với tổng kinh phí đầu tư hơn 2.000 tỷ đồng. Nơi đây sẽ tập trung các chuyên gia hàng đầu trong nước và quốc tế tham gia vào nghiên cứu, giải mã, hoàn thiện và chuyển giao công nghệ, thương mại hóa các sản phẩm công nghệ và đào tạo nhân lực trình độ cao trong mọi lĩnh vực, đóng góp cho sự phát triển của đất nước."
6,Khoa dược,"Khoa Dược là khoa chủ chốt trong khối ngành sức khỏe tại Trường Đại học Nguyễn Tất Thành. Khoa được thành lập theo quyết định số 232/2008/QĐ-PHC do Hiệu trưởng Trường Cao đẳng Nguyễn Tất Thành ký ngày 08/08/2008 với chức năng đào tạo Dược sĩ trung cấp. Theo Quyết định số 3381/QĐ-BGDĐT ký ngày 18/08/2011, Khoa được phép đào tạo Dược sĩ cao đẳng. Năm 2012, Bộ Lao động – Thương binh và Xã hội cho phép đào tạo hệ Cao đẳng nghề nhằm bổ sung nguồn nhân lực cho các xí nghiệp và nhà máy sản xuất thuốc. Theo Quyết định số 1887/QĐ-BGDĐT ký ngày 29/05/2013 cho phép đào tạo Dược sĩ đại học."
7,Chuyên ngành dược lâm sàng,"Dược lâm sàng là một trong những định hướng chuyên ngành trong chương trình đào tạo ngành Dược học trình độ đại học (Ban hành kèm theo Thông tư số 01 /2012/TT-BGDĐT ngày 13 tháng 01 năm 2012 của Bộ trưởng Bộ Giáo dục và Đào tạo):

Sinh viên sau khi tốt nghiệp thể hiện được vai trò người Dược sĩ lâm sàng chăm sóc sức khỏe cộng đồng; có trách nhiệm pháp luật, đạo đức và chuyên môn đáp ứng khâu cuối cùng trong chuỗi cung ứng dược phẩm và chuỗi cung ứng chăm sóc sức khỏe.
Trở thành Dược sĩ lâm sàng có năng lực tham gia xây dựng, triển khai và theo dõi kế hoạch điều trị cho người bệnh cùng các hoạt động thúc đẩy sử dụng thuốc hợp lý, hiệu quả, an toàn và kinh tế, tham gia hành nghề ở nhiều loại hình cơ sở y tế khác nhau: bệnh viện, phòng khám đa khoa, nhà thuốc cộng đồng, phòng khám bác sĩ gia đình, viện dưỡng lão và các loại hình chăm sóc sức khoẻ khác.
Cung ứng nguồn nhân lực cho chiến lược phát triển của ngành Dược giai đoạn đến năm 2020 và tầm nhìn đến năm 2030 của Thủ tướng Chính phủ ban hành Số: 68/QĐ-TTg năm 2014 , ngành dược trong cả nước được đặt ra nhiều mục tiêu như 50% bệnh viện tuyến tỉnh, trung ương có bộ phận Dược lâm sàng, 50% bệnh viện tuyến huyện, bệnh viện tư nhân có hoạt động dược lâm sàng, Dược sĩ lâm sàng chiếm 30%."
8,Chuyên ngành quản lý cung ứng thuốc,"Chuyên ngành sản xuất và phát triển thuốc cung cấp cho sinh viên:

Kiến thức cơ bản về thực vật, dược liệu, dược học cổ truyền, chiết xuất, công nghệ sinh học, bán tổng hợp, tổng hợp trong sản xuất nguyên liệu làm thuốc và vận dụng các kiến thức này để xây dựng quy trình và sản xuất một số nguyên liệu làm thuốc.
Kiến thức, kỹ năng về triển khai thực hiện nghiên cứu, phát triển công thức các dạng thuốc, giúp người học đánh giá được vai trò, ảnh hưởng của các thành phần trong công thức, qui trình bào chế, sản xuất đến độ ổn định, độ an toàn, sinh khả dụng và hiệu quả điều trị của thuốc. Từ đó, xây dựng, triển khai quy trình sản xuất một số dạng bào chế quy ước.
Kỹ năng thực hiện được việc tổ chức và pha chế một số thuốc tại cơ sở điều trị. Vận dụng một cách phù hợp, trách nhiệm và có đạo đức những kiến thức về dạng bào chế, sinh dược học trong lựa chọn và sử dụng thuốc.
Kiến thức tổng quát về hệ thống quản lý chất lượng thuốc, các nguyên tắc chuẩn mực áp dụng trong hệ thống quản lý chất lượng thuốc và kiến thức cơ bản về các kỹ thuật phân tích thường được sử dụng trong phân tích, kiểm nghiệm chất lượng thuốc, nguyên liệu làm thuốc. Từ đó, triển khai được việc phân tích, kiểm nghiệm thuốc và nguyên liệu làm thuốc theo Dược điển Việt Nam.
Kiến thức để xây dựng, thẩm định tiêu chuẩn chất lượng thuốc và nguyên liệu làm thuốc.
Kiến thức và áp dụng được các nguyên tắc thực hành tốt (GPs) trong sản xuất và cung ứng. Từ đó, tham gia xây dựng và áp dụng các quy trình thao tác chuẩn (SOPs) để đảm bảo chất lượng thuốc."
9,Khoa y,"Khoa Y, đơn vị trực thuộc ĐH Nguyễn Tất Thành được thành lập theo quyết định số 304/QĐ-NTT ký ngày 21/07/2014 trên cơ sở sát nhập các ngành Điều Dưỡng, trung cấp Y Sĩ, Kỹ thuật Y sinh, Kỹ thuật Mắt kính; có nhiệm vụ đào tạo nguồn nhân lực y tế từ trình độ Trung cấp đến Cao đẳng và Đại học hệ chính quy, có chất lượng dựa trên mô hình kết hợp trường – Bệnh viện và các Viện, Trung tâm nghiên cứu chất lượng cao trên phạm vi Thành phố Hồ Chí Minh."
10,Chuyên ngành y đa khoa,"Đây là ngành học đào tạo ra những bác sĩ đa khoa với đầy đủ kiến thức chuyên môn và kỹ năng nghề nghiệp trong việc phòng bệnh, chữa bệnh và nâng cao sức khỏe của nhân dân. Đồng thời tăng cường và phát triển nguồn nhân lực y tế cả về số lượng và chất lượng hiện còn đang thiếu."
11,Chuyên ngành  y dự phòng,"Đây là một ngành học thuộc lĩnh vực y tế có liên quan đến việc thực hiện các biện pháp để phòng ngừa bệnh. Hay nói cách khác, Y học dự phòng là để bảo vệ sức khỏe, phòng chống dịch bệnh và ngăn chặn sự sinh sôi, phát triển nguồn bệnh."
12,Chuyên ngành kỹ thuật phục hồi chức năng,"NTTU – Ngày nay, những tiến bộ trong lĩnh vực khoa học và công nghệ đang thúc đẩy sự phát triển đáng kinh ngạc của Kỹ thuật Phục hồi chức năng. Trái với sự gia tăng của nhu cầu, số lượng chuyên gia Kỹ thuật Phục hồi chức năng vẫn còn hạn chế. Từ những năm 2000, tỉ lệ tăng trưởng kinh tế hàng năm của Việt nam luôn duy trì ở mức khoảng 7%. Cùng với kinh tế phát triển…"
